שם פרויקט,מספר פרויקט,סטטוס
הרצליה - מרכז התחבורה ,227,הסתיים
השדרה השביעית,457,הסתיים
"השלמת חוו""ד בתיק עת""מ 4033/07",3902,הסתיים
השלמת כביש כניסה  1002/2013,30424,הסתיים
ואדי מילק,3416,הסתיים
ואדי ניסנס,3619,הסתיים
ואדי סאליב – רובע אומנים,3880,הסתיים
וילה דורי,7003,הסתיים
וקסמן-קולקר חב' לתכנון בירושלים - דניה - חיפה,289,הסתיים
וקסמן-קולקר חב' לתכנון בירושלים - הר חומה,290,הסתיים
וקסמן-קולקר חב' לתכנון בירושלים - חצור שטח 1,285,הסתיים
וקסמן-קולקר חב' לתכנון בירושלים - חצור שטח 6,286,הסתיים
וקסמן-קולקר חב' לתכנון בירושלים - חצור שטח 9,287,הסתיים
וקסמן-קולקר חב' לתכנון בירושלים - מעלה אדומים,320,הסתיים
ורד גבעתיים - בית פלאפון,152,הסתיים
ז'בוטינסקי 105,559,הסתיים
ח.ל.ת - נ.ק.ז,312,הסתיים
חברת חשמל,4337,הסתיים
חדרה – שכונה חדשה,223,הסתיים
"חו""ד מ.מ. בנימינה נגד דן ארנולד             ",3835,הסתיים
"חו""ד פגיעה בריצוף גדיש ועינב",3736,הסתיים
"חו""ל כללי",6000,הסתיים
"חוו""ד גליל סנטר- ראש פינה",3755,הסתיים
"חוו""ד התיאטרון הקאמרי - ת""א",399,הסתיים
"חוו""ד שמואלביץ ישראל ",3211,הסתיים
"חוו""ד שמואלביץ רונן",3744,הסתיים
חולון - בנין מיטרני,383,הסתיים
חולון - היכל הספורט,456,הסתיים
חומת שמואל,4204,הסתיים
חוף הכרמל - ביוב,3388,הסתיים
חוף זמיר,3775,הסתיים
חופים,3399,הסתיים
חוצות גנדן נתניה - פאוור סנטר,325,הסתיים
חוצות המפרץ,3001,הסתיים
חוצות המפרץ - בקרה תקציבית,3800,הסתיים
חורי הפצה,341,הסתיים
חטיבת ביניים בן צבי - קרית אונו,350,הסתיים
"חידוש בי""ס כרכור",3339,הסתיים
חלומות אלמוג,3764,הסתיים
חלומות כרכור - שלב ב',3890,הסתיים
